log_aum	lfac_A	lfac_x_b	lfac_alpha	lfac_s	nu_A	nu_x_b	nu_alpha	nu_s	L_A	L_x_b	L_alpha	L_s	xi_k	xi_sat	xi_s
-1.0	0.9963570653229459	2.008609392389115	0.008378576444229078	0.34370834440101133	0.6268730437087047	2.155136773113825	0.9298833001771288	0.3332164922992307	0.7659178779001033	2.141000015835524	0.5381391091092195	0.350620242723344	0.3031981410200534	1.2073885527842207	1.1734047837242239
-0.9	0.9953494353792764	2.045611386406371	0.009635247198786109	0.33764130299421724	0.6244745833752703	2.14643084578328	0.8932534184397379	0.3317688615185434	0.7559591101636054	2.205375939432265	0.5047214801145417	0.3285414738582416	0.3025125846983516	1.2236927815268164	1.1576743070292006
-0.8	0.994578436385659	2.0229018734617594	0.011670877580980805	0.35580025071309823	0.6488326542363262	2.026574012239942	0.9378148082535744	0.35815650237751934	0.7835565413771317	2.0460654834820335	0.5565391446427935	0.3755201649370744	0.30334247017920274	1.2247858353422332	1.1228796102853102
-0.7	0.993605254390224	2.0256719973663815	0.01389132939723179	0.3683945340127416	0.6575631873235916	2.0292750168720035	0.9093434587921229	0.3678390192723867	0.7946633731599666	2.0376611067903245	0.5592466160981684	0.3757455212151621	0.30446483025135046	1.2519292838685276	1.091091432548961
-0.6	0.9926115529746229	2.028518219852294	0.01617418113787306	0.3830803623552413	0.6678475242847819	2.029701285726896	0.8800905109601613	0.37840584393235926	0.8047617703404892	2.040318916960375	0.5482179499159958	0.3845078455608	0.3041557088429232	1.23046338625542	1.09323393719337
-0.5	0.9916029222602248	2.0290622318471287	0.018702827043012297	0.396867864895271	0.6799714886202709	2.031389489539393	0.8489658608537988	0.3883249652669756	0.8156931203191726	2.0418310327113103	0.536438102017629	0.3898580000480565	0.30411649627960174	1.2201996339998051	1.0923692187455816
-0.4	0.990665048765768	2.0285135562541474	0.021196156102650292	0.4129757386834611	0.6945721327364867	2.031952567142775	0.8119859924503363	0.399795719954644	0.828691501180357	2.03309860395644	0.5206473483228192	0.39808593245697776	0.30448510857684985	1.2271578105916563	1.088066311622536
-0.3	0.9899306671299583	2.021117668520688	0.023533300804196595	0.4315162818413853	0.7132608862776864	2.021117668520676	0.7728158780271427	0.4130940829664067	0.8428720656869468	2.0247278852417003	0.4986153201071938	0.405341924872802	0.3037285327888566	1.1893195987343528	1.1100574331263815
-0.2	0.9895156748904894	2.0091126600051346	0.02562522648494532	0.44952363434782094	0.7355022750190808	2.0091126600051346	0.7288261908794611	0.42616442678568334	0.8599857213128653	2.0106221209650808	0.4782535939094494	0.4094765209200744	0.30395386567141214	1.1904229624649625	1.1138440236750835
-0.1	0.9895331349654499	1.9950667058488676	0.02686158874706553	0.4754669328947839	0.7616004063817827	1.9950667058488676	0.6719039107631009	0.4451864652179125	0.8771058707125552	2.0212658848829346	0.43845291905453193	0.42090179522744897	0.30326332903252373	1.160811870757452	1.1310484146204383
