log_aum	lfac_A	lfac_x_b	lfac_alpha	lfac_s	nu_A	nu_x_b	nu_alpha	nu_s	L_A	L_x_b	L_alpha	L_s	xi_k	xi_sat	xi_s
-1.0	1.0050037735220196	2.1381092935994626	-0.009295873215439048	0.29576930913486854	0.5852838321785587	2.192757201774156	0.9805306180088817	0.3011499694566512	0.7511164611795078	2.016733416694496	0.6298566077555359	0.3597091339965201	0.31291714073104376	1.2929271599146908	1.1001106581016684
-0.9	1.0066906280210424	2.2059412751566114	-0.01087933481408825	0.27603026173884165	0.5703072582696663	2.216641983836419	0.9439254210987805	0.28790327315283915	0.7351740054288662	2.059641031801769	0.6155317214152439	0.339091979291305	0.31156086659064763	1.3512229257675452	1.0595741921409447
-0.8	1.008085793471778	2.103943683251586	-0.014623993414901015	0.29096176888628306	0.5778241551716699	2.134181096858048	0.9956607096296973	0.30099713103242387	0.7432001892884875	2.02263094106195	0.6479058006914381	0.35422302975531816	0.3120519028123809	1.3382051118960985	1.0317062123258107
-0.7	1.0101435363485842	2.06738174332524	-0.01907728172574317	0.2953208927868268	0.5799236996967507	2.0888308041908643	1.0335763309514416	0.30722229171099763	0.7441584898998722	2.0277444697452305	0.6631819902608023	0.3621331140769588	0.3126324848373963	1.338040083892474	1.0085427380908225
-0.6	1.0131994316367958	2.126019264489316	-0.022979811513167303	0.28621354613055083	0.5683513077344265	2.135526678659916	1.0077395546742625	0.30051779585487925	0.7432333885889286	2.022201412574755	0.6742144056138668	0.3694300176173571	0.3136500487315486	1.3750984584437604	0.976064095093166
-0.5	1.016451971816705	2.0641248620011026	-0.030447214331651568	0.2898208991574892	0.5718164564346044	2.058910534249302	1.0770786717826575	0.3074048904648402	0.7398096243393351	2.023941214731966	0.6886941752445407	0.37167539236542313	0.31452794556392233	1.3818149879561947	0.9604739429260376
-0.4	1.0210509009777409	2.0602586969493193	-0.03855942794578738	0.2856356104185469	0.5663126697403136	2.0410759498321647	1.1059653670408505	0.3063194460079852	0.7362115930614387	2.01188007893092	0.7056011744797016	0.3736288029304731	0.31602711647692966	1.4121734950083205	0.9370685961568592
-0.3	1.0265341943195871	2.023800914766207	-0.05006100901449256	0.2838384793715896	0.5637432306306597	1.997769114905488	1.162901041281457	0.30656267383252184	0.7313716936718231	2.001191732053316	0.7262969851528861	0.37235343411158184	0.3177295351346682	1.4511331742133446	0.9157863510189472
-0.2	1.0337791553975	2.015625779656876	-0.06326240608766812	0.2786327338405508	0.5554035578560347	1.9894043291913264	1.1914168316856006	0.30283851500393233	0.7260959829396872	1.9894043291823704	0.7442249591007866	0.3733251481570928	0.31951941069302287	1.4792891714445728	0.8912238050600195
-0.1	1.0421724021056655	1.9822212612631396	-0.08098364801544931	0.27691089464869256	0.5472988722729509	1.9789229472949847	1.226313931465946	0.29833607673057766	0.7204810004609591	1.9789229472949867	0.7656527913062566	0.3717302091182841	0.32187319382611773	1.5284052398529264	0.8634853950752707
0.0	1.0526368326187878	1.969434549445146	-0.10060989858424577	0.27465501576218265	0.5403864026290296	1.9651503793624208	1.257008439472388	0.29710952180181593	0.7156873725604509	1.9662213088487936	0.7791199378958592	0.3765831993163488	0.32491138946333326	1.5908366193508867	0.8346977699677569
0.1	1.0649593107502315	1.9559503540152248	-0.12379820082165524	0.26908562186223167	0.5332583475444429	1.9507814791526867	1.2924401608664895	0.29135195151590654	0.7096813751283759	1.9507814791526867	0.8001951189303742	0.3692970078518501	0.32797099166745924	1.6499486874889766	0.8112326599562552
0.2	1.0783660768413117	1.94074092491378	-0.1495642788613683	0.26847337946369176	0.529380138893635	1.9347978158114825	1.3206303287994843	0.29103380668476087	0.7065921881083458	1.9357880494720028	0.813162070114207	0.3720920060309781	0.33141527130058246	1.71811143261507	0.788064084322213
0.3	1.0924913983094988	1.9240437091747833	-0.17748132335495123	0.268320836054062	0.5276410962661066	1.9174631106874	1.3465014374948652	0.29019589836217563	0.7045344806219184	1.91840642976522	0.8262878441159716	0.3717530892086096	0.33468036413845964	1.8051999728633796	0.7582099249897786
0.4	1.1062184207582433	1.9062868079921595	-0.20616642799087612	0.27131416451954726	0.5295599668396451	1.9001091616580328	1.3624154861595597	0.2925752436894576	0.7050253996596472	1.9027571418538896	0.833129090929802	0.37569031063238406	0.3382853670200234	1.8637285897089	0.7455943331738669
0.5	1.1188052075737571	1.8891756376858049	-0.23422457117317247	0.27519226849731715	0.5344950636458997	1.884254846496324	1.367884220827161	0.2960618839462367	0.7067927600998919	1.8916316465851848	0.8347408843470819	0.37933405751504	0.34099730675657114	1.9145000221557384	0.7258281578574277
0.6	1.1293948529275843	1.8722903772909831	-0.2597796597543925	0.2808609026710139	0.5416867890229937	1.8737948421004211	1.3571538371735063	0.30027413787553414	0.7116512225795751	1.8737948421004211	0.8360512800859315	0.3848413972004261	0.34374458711231887	1.9898050446246875	0.7101372402540922
0.7	1.1377010083310244	1.8574830232902015	-0.2827863203542467	0.2853292993951818	0.5525427212379803	1.8574830232902015	1.3515864303425476	0.3036064207992718	0.7181362826436207	1.8574830232902015	0.8411506162787161	0.3862455539490686	0.34550832043374635	2.0800576373313038	0.6894684771998497
0.8	1.143817424768849	1.8431093784164465	-0.29901312116539763	0.2919896629279213	0.5645069562272723	1.8431093784136607	1.319509295704616	0.31105435687034527	0.7246791458514048	1.8431093784136348	0.8226702735279757	0.39747353419594367	0.34774720274797094	2.0535898117666735	0.6944229030571101
0.9	1.1479616104761696	1.830305685356289	-0.31293503459232946	0.2958460161341192	0.576767434697701	1.830305685356289	1.294190246590554	0.31438499192376923	0.7316902127179367	1.8297369970790416	0.8144634393402534	0.4013203160671232	0.3490088070196699	2.0805835490043614	0.6877870877249428
1.0	1.15062432599762	1.8203480363472355	-0.3232613538548534	0.2987681664475523	0.5886112807365913	1.8203480363472293	1.26617497427377	0.3171984780211904	0.738378246025778	1.8203480363472293	0.8042308830717083	0.4053533389249714	0.3498049261144364	2.26447253655006	0.6648770518916961
