,time,Nc_4,Nc_3,Nc_2,Nc_1,R_{rs},R_{cd},R_{fs},V_4,V_3,V_2,V_1,ShSt_{rs},ShSt_{fs},Emass_4,Emass_3,Emass_2,Emass_1,Ekin_4,Ekin_3,Ekin_2,Ekin_1,Eint_4,Eint_3,Eint_2,Eint_1
2300,4449.650183412619,388.0,107.0,94.0,411.0,133407302609908.16,133407986691187.22,133408302646986.3,1.5335159688923994e+38,7.044035299376195e+37,2.7213112087551873e+39,2.5739533934981845e+39,0.1095424855660132,0.020037435160854544,0.013722803983980292,3.910013067375546e+37,6.874821942715662e+37,3.802663303503468e+38,8.978674386727697e+37,4.912608166470028e+39,8.631514847108489e+39,3.7663795237270275e+40,1.7864299851834786e+40,1.9437412469247784e+37,7.648759629900652e+36,4.819384605746765e+35
2400,4641.895859651958,383.0,112.0,98.0,407.0,139170468776834.72,139171187142117.84,139171515938679.33,1.7587907539511894e+38,7.99026451950485e+37,2.931902539485098e+39,2.765910111887294e+39,0.0365152382313958,0.018092228782274455,0.015853176338271657,4.450372529417996e+37,7.800410658877922e+37,4.0980610751691835e+38,9.644638754708094e+37,5.596470810818241e+39,9.793775580913752e+39,4.059193380432116e+40,1.919199603561137e+40,2.2079729916080855e+37,8.675912493648928e+36,5.2963658484568604e+35
2500,4834.123619546927,378.0,117.0,102.0,403.0,144933096588633.88,144933850490490.78,144934192222021.72,2.0104454713412723e+38,9.017412631761567e+37,3.1476278175792317e+39,2.960948913363556e+39,0.049271170247670026,0.015998230459103313,0.017895381888012762,5.036422742036813e+37,8.80419704823573e+37,4.400102210349486e+38,1.0322066701387934e+38,6.339969033668877e+39,1.105416151839252e+40,4.358633097620251e+40,2.0540763248834042e+40,2.494358313350037e+37,9.791300177808111e+36,5.798686588013282e+35
2600,5026.081637717989,374.0,121.0,106.0,399.0,150687653348249.25,150688427439321.28,150688782202890.78,2.215083305381476e+38,1.012752807961232e+38,3.36788639942458e+39,3.1658390996999424e+39,0.05957383120350479,0.013896008277389349,0.019712922234275565,5.640640730941327e+37,9.8909071568245e+37,4.709152357095202e+38,1.1041770252680144e+38,7.08794602743161e+39,1.241856268684669e+40,4.665052624216592e+40,2.1970386820805723e+40,2.802389039407488e+37,1.0997423189031058e+37,6.319247901089118e+35
2700,5217.805306139705,369.0,126.0,110.0,395.0,156435170153180.0,156435978977185.62,156436346872868.78,2.5040569657216977e+38,1.1324040559176537e+38,3.5923955804840126e+39,3.367196242804805e+39,0.026294656124797644,0.011755231479991135,0.02110254220026553,6.325050225165123e+37,1.1062859588730784e+38,5.0243672289076356e+38,1.1740706214027542e+38,7.955189683546124e+39,1.3889927784846487e+40,4.977614661841769e+40,2.3363400906820283e+40,3.1366687447597947e+37,1.2297772187518628e+37,6.861576862574525e+35
2800,5409.459297289154,365.0,130.0,115.0,390.0,162180611256019.16,162181441711317.5,162181831368041.4,2.7486971022368197e+38,1.273318474457136e+38,3.8198129987408683e+39,3.577806270315433e+39,0.06573094090924259,0.009674025067559766,0.022053632848987315,7.02286251428197e+37,1.2432220704826184e+38,5.333840862764456e+38,1.2484782654948978e+38,8.821065536226347e+39,1.560654717201807e+40,5.281870290109523e+40,2.483737736573155e+40,3.4923317068311413e+37,1.381432325109302e+37,6.2506390015402484e+35
2900,5601.155259992907,360.0,135.0,119.0,386.0,167927298262864.44,167928162676128.88,167928564720893.44,3.074765184154213e+38,1.411886336983052e+38,4.0523733690246646e+39,3.7849581302529784e+39,0.046181869403498554,0.02522205333618066,0.006252920878267121,7.814211405541653e+37,1.379221435959985e+38,5.6597846686052585e+38,1.319938160436043e+38,9.821357687949337e+39,1.7314660682935344e+40,5.6048901893676645e+40,2.6264856654252674e+40,3.8797355495940433e+37,1.5324611503742388e+37,6.750723987521413e+35
3000,5792.966550734764,355.0,140.0,123.0,382.0,173677441354151.34,173678340985166.28,173678755492328.6,3.43584648919172e+38,1.560414753232093e+38,4.2886737463234604e+39,3.993126069330567e+39,0.10611072526890486,0.02419841632696018,0.007998221443271225,8.660201843505793e+37,1.5247582239678682e+38,5.990721896211883e+38,1.3921325376274945e+38,1.0894176907606474e+40,1.9142466846214947e+40,5.932909546505608e+40,2.7703068906311523e+40,4.293206205467416e+37,1.6941253720809717e+37,7.282705356644119e+35
3100,5985.027276530951,351.0,144.0,127.0,378.0,179435076547791.4,179435996935759.75,179436423985810.9,3.730492193660634e+38,1.7193486899480165e+38,4.528590028021245e+39,4.2123677913868223e+39,0.10961700689199483,0.022911824349343135,0.00998191880479804,9.521624924754736e+37,1.6804857459626692e+38,6.3274930735269306e+38,1.4695622431822608e+38,1.1961147048032113e+40,2.1098196411513665e+40,6.266772140598683e+40,2.9238573932230718e+40,4.732333984258718e+37,1.8668671008688247e+37,7.849876712129843e+35
3200,6177.2607179854,346.0,149.0,131.0,374.0,185197875902897.0,185198830605883.94,185199270304133.12,4.133530904007483e+38,1.8889735675178315e+38,4.7717367881129297e+39,4.4248432978344664e+39,0.03567402148420129,0.021346194694510823,0.012122287610244697,1.0488278776098184e+38,1.8465164775828354e+38,6.6687738049926216e+38,1.5429599923815606e+38,1.3184390035959735e+40,2.318323874518383e+40,6.605169244927097e+40,3.070348651541097e+40,5.205256109524504e+37,2.051043963271952e+37,8.452319500626234e+35
3300,6369.492782510855,341.0,154.0,135.0,370.0,190960632724883.12,190961623001948.5,190962075457985.34,4.57370824052049e+38,2.069415830361943e+38,5.017597086938875e+39,4.637187354027805e+39,0.050368380166840865,0.019550703781039624,0.014287540705428592,1.1515989424033284e+38,2.0230864277435096e+38,7.013806290384691e+38,1.6166756327396529e+38,1.4487812103903986e+40,2.5400497437084826e+40,6.947344987819636e+40,3.217160008304057e+40,5.70732209387794e+37,2.246953645002453e+37,9.084718082177427e+35
3400,6561.731546514085,337.0,158.0,139.0,366.0,196723605868384.94,196724616235197.4,196725081549975.12,4.9244018797686254e+38,2.2610163801331853e+38,5.265879556470905e+39,4.861800454673426e+39,0.05932108087065813,0.017547502263896675,0.016411814315644646,1.2556652397002421e+38,2.2107496851434037e+38,7.362954318333382e+38,1.6959125955327875e+38,1.577548555023147e+40,2.775693558743141e+40,7.293663797775566e+40,3.3744046140774287e+40,6.237974040582203e+37,2.454974007655478e+37,9.74365309093968e+35
3500,6753.945199086145,332.0,163.0,143.0,362.0,202485811660710.53,202486856670655.88,202487334946788.2,5.411805255823174e+38,2.4640707185208385e+38,5.516237865866328e+39,5.075750837638462e+39,0.02697410242214371,0.015433079707962927,0.018409217262266298,1.3713791155515143e+38,2.4093891626727014e+38,7.714317483873247e+38,1.769760656467636e+38,1.724105082063715e+40,3.025108160796917e+40,7.642240706998552e+40,3.5217182485411497e+40,6.804376834548627e+37,2.6754755552510824e+37,1.0426712361644897e+36
3600,6945.811242337626,328.0,167.0,147.0,358.0,208237609702062.1,208238676367322.78,208239167703843.28,5.818491522784563e+38,2.6785538938041978e+38,5.767940630934937e+39,5.300062689186612e+39,0.06403230739304133,0.013335804733876966,0.020129429303191282,1.4875561675734802e+38,2.619605646512012e+38,8.068415849688065e+38,1.8498354490818107e+38,1.8682518056663785e+40,3.2890350619773644e+40,7.993571814359918e+40,3.6799075323675963e+40,7.395827619805232e+37,2.908540795371536e+37,1.1122152547050627e+36
3700,7137.497756000567,323.0,172.0,152.0,353.0,213984013475655.8,213985114065512.84,213985627797072.25,6.3509848201170495e+38,2.927129156157872e+38,6.018682454873436e+39,5.514032938590523e+39,0.04738831388283371,0.011192767252824254,0.021397300322860913,1.617035854266814e+38,2.860751270760585e+38,8.404887115469732e+38,1.9230864870350784e+38,2.0318742951127045e+40,3.5912195724555984e+40,8.322953405832811e+40,3.826614388694956e+40,8.029940082391181e+37,3.1749506585560056e+37,9.806871479966523e+35
3800,7329.152928089946,318.0,177.0,156.0,349.0,219729476424126.78,219730612202705.28,219731138235963.97,6.931647664559839e+38,3.1660216610184855e+38,6.272774392935669e+39,5.725366227599365e+39,0.10603664444663052,0.009146942385962475,0.022236263656623567,1.753196618333311e+38,3.0953640021455325e+38,8.76053497573376e+38,1.996011785071375e+38,2.20451588721653e+40,3.885905978102108e+40,8.675544902346085e+40,3.9720012710860595e+40,8.696162285615903e+37,3.4358876802067844e+37,1.0414456021632734e+36
3900,7520.867757778224,314.0,181.0,160.0,345.0,225476742119197.2,225477898768838.47,225478437198240.9,7.399933681056039e+38,3.4181282269991e+38,6.527797441240189e+39,5.949970835328446e+39,0.10962017452260575,0.024958201381751532,0.006698933506613214,1.89008122062951e+38,3.3432654015301216e+38,9.11968030440882e+38,2.0760262377380098e+38,2.374068409549012e+40,4.197262947166148e+40,9.031674651110219e+40,4.130385899906044e+40,9.39295657218511e+37,3.7105796044312103e+37,1.10596630726265e+36
4000,7712.745997773656,309.0,186.0,164.0,341.0,231228893082368.2,231230084102049.28,231230635031275.88,8.031888677527591e+38,3.683847453427469e+38,6.783593283176694e+39,6.160128715263427e+39,0.035096824716875474,0.02388922899612078,0.008496058911197535,2.041596662091879e+38,3.603954926163612e+38,9.479524445569568e+38,2.1482553774454403e+38,2.5658200343925127e+40,4.5246689928259e+40,9.388576872866982e+40,4.274813639657299e+40,1.0133614217437769e+38,3.9995938451732404e+37,1.1744795465427252e+36
4100,7904.850781113793,304.0,191.0,168.0,337.0,236987834167348.78,236989060823193.0,236989624316056.22,8.713163360846986e+38,3.963447048565789e+38,7.039964052531205e+39,6.367100479236597e+39,0.05150381401734916,0.02252981047696312,0.010534733111881023,2.2006537259660667e+38,3.877741693768321e+38,9.83960348337971e+38,2.2198660970576454e+38,2.7675289655484525e+40,4.868505235880811e+40,9.745815717563978e+40,4.417497926004393e+40,1.0911098926503835e+38,4.303456114873706e+37,1.2475112005026495e+36
4200,8097.099313473802,300.0,195.0,172.0,333.0,242751100206440.47,242752346895449.5,242752923059867.94,9.248764652617745e+38,4.257207769506004e+38,7.296495351052762e+39,6.589998893064747e+39,0.05839118977085733,0.020889331020791158,0.012700710548123828,2.359787821054859e+38,4.165197133464191e+38,1.0200149924347093e+39,2.2986884789023683e+38,2.964382639909157e+40,5.229491714002458e+40,1.0103614886976443e+41,4.573714085271613e+40,1.1724095254122558e+38,4.622441575232409e+37,1.3246047996479993e+36
