branch,sep,s1,off,bias,n,regime,s1_fit,sep_fit
fc,2.0,1.2,1.0,,0,,,
fc,2.0,1.2,1.1,,0,,,
fc,2.0,1.2,1.15,,0,,,
fc,2.0,1.2,1.25,,0,,,
fc,2.0,1.2,1.5,,0,,,
fc,2.0,1.2,1.75,,0,,,
fc,2.0,1.2,2.0,,0,,,
fc,2.0,1.2,2.5,,0,,,
fc,2.0,1.2,3.0,,0,,,
fc,2.0,1.2,4.0,,0,,,
fc,2.0,1.2,5.0,,0,,,
fc,2.0,1.2,6.0,,0,,,
fc,2.0,1.2,7.0,,0,,,
fc,2.0,1.3,-0.25,,0,,,
fc,2.0,1.3,0.0,,0,,,
fc,2.0,1.3,0.25,,0,,,
fc,2.0,1.3,0.5,,0,,,
fc,2.0,1.3,0.75,,0,,,
fc,2.0,1.3,1.0,,0,,,
fc,2.0,1.3,1.1,,0,,,
fc,2.0,1.3,1.15,,0,,,
fc,2.0,1.3,1.25,,0,,,
fc,2.0,1.3,1.5,,0,,,
fc,2.0,1.3,1.75,,0,,,
fc,2.0,1.3,2.0,,0,,,
fc,2.0,1.3,2.5,,0,,,
fc,2.0,1.3,3.0,,0,,,
fc,2.0,1.3,4.0,,0,,,
fc,2.0,1.3,5.0,,0,,,
fc,2.0,1.3,6.0,,0,,,
fc,2.0,1.3,7.0,,0,,,
fc,2.0,1.45,-0.25,,0,,,
fc,2.0,1.45,0.0,,0,,,
fc,2.0,1.45,0.25,,0,,,
fc,2.0,1.45,0.5,,0,,,
fc,2.0,1.45,0.75,,0,,,
fc,2.0,1.45,1.0,,0,,,
fc,2.0,1.45,1.1,,0,,,
fc,2.0,1.45,1.15,,0,,,
fc,2.0,1.45,1.25,,0,,,
fc,2.0,1.45,1.5,,0,,,
fc,2.0,1.45,1.75,,0,,,
fc,2.0,1.45,2.0,,0,,,
fc,2.0,1.45,2.5,,0,,,
fc,2.0,1.45,3.0,,0,,,
fc,2.0,1.45,4.0,,0,,,
fc,2.0,1.45,5.0,,0,,,
fc,2.0,1.45,6.0,,0,,,
fc,2.0,1.45,7.0,,0,,,
fc,2.0,1.7,-0.25,,0,,,
fc,2.0,1.7,0.0,,0,,,
fc,2.0,1.7,0.25,,0,,,
fc,2.0,1.7,0.5,,0,,,
fc,2.0,1.7,0.75,,0,,,
fc,2.0,1.7,1.0,,0,,,
fc,2.0,1.7,1.1,,0,,,
fc,2.0,1.7,1.15,,0,,,
fc,2.0,1.7,1.25,,0,,,
fc,2.0,1.7,1.5,,0,,,
fc,2.0,1.7,1.75,,0,,,
fc,2.0,1.7,2.0,,0,,,
fc,2.0,1.7,2.5,,0,,,
fc,2.0,1.7,3.0,,0,,,
fc,2.0,1.7,4.0,,0,,,
fc,2.0,1.7,5.0,,0,,,
fc,2.0,1.7,6.0,,0,,,
fc,2.0,1.7,7.0,,0,,,
fc,2.0,2.0,-0.25,,0,,,
fc,2.0,2.0,0.0,,0,,,
fc,2.0,2.0,0.25,,0,,,
fc,2.0,2.0,0.5,,0,,,
fc,2.0,2.0,0.75,,0,,,
fc,2.0,2.0,1.0,,0,,,
fc,2.0,2.0,1.1,,0,,,
fc,2.0,2.0,1.15,,0,,,
fc,2.0,2.0,1.25,,0,,,
fc,2.0,2.0,1.5,,0,,,
fc,2.0,2.0,1.75,,0,,,
fc,2.0,2.0,2.0,,0,,,
fc,2.0,2.0,2.5,,0,,,
fc,2.0,2.0,3.0,,0,,,
fc,2.0,2.0,4.0,,0,,,
fc,2.0,2.0,5.0,,0,,,
fc,2.0,2.0,6.0,,0,,,
fc,2.0,2.0,7.0,,0,,,
fc,2.0,2.2,-0.25,,0,,,
fc,2.0,2.2,0.0,,0,,,
fc,2.0,2.2,0.25,,0,,,
fc,2.0,2.2,0.5,,0,,,
fc,2.0,2.2,0.75,,0,,,
fc,2.0,2.2,1.0,,0,,,
fc,2.0,2.2,1.1,,0,,,
fc,2.0,2.2,1.15,,0,,,
fc,2.0,2.2,1.25,,0,,,
fc,2.0,2.2,1.5,,0,,,
fc,2.0,2.2,1.75,,0,,,
fc,2.0,2.2,2.0,,0,,,
fc,2.0,2.2,2.5,,0,,,
fc,2.0,2.2,3.0,,0,,,
fc,2.0,2.2,4.0,,0,,,
fc,2.0,2.2,5.0,,0,,,
fc,2.0,2.2,6.0,,0,,,
fc,2.0,2.2,7.0,,0,,,
fc,2.0,2.6,-0.25,,0,,,
fc,2.0,2.6,0.0,,0,,,
fc,2.0,2.6,0.25,,0,,,
fc,2.0,2.6,0.5,,0,,,
fc,2.0,2.6,0.75,,0,,,
fc,2.0,2.6,1.0,,0,,,
fc,2.0,2.6,1.1,,0,,,
fc,2.0,2.6,1.15,,0,,,
fc,2.0,2.6,1.25,,0,,,
fc,2.0,2.6,1.5,,0,,,
fc,2.0,2.6,1.75,,0,,,
fc,2.0,2.6,2.0,,0,,,
fc,2.0,2.6,2.5,,0,,,
fc,2.0,2.6,3.0,,0,,,
fc,2.0,2.6,4.0,,0,,,
fc,2.0,2.6,5.0,,0,,,
fc,2.0,2.6,6.0,,0,,,
fc,2.0,2.6,7.0,,0,,,
fc,2.0,3.0,-0.25,,0,,,
fc,2.0,3.0,0.0,,0,,,
fc,2.0,3.0,0.25,,0,,,
fc,2.0,3.0,0.5,,0,,,
fc,2.0,3.0,0.75,,0,,,
fc,2.0,3.0,1.0,,0,,,
fc,2.0,3.0,1.1,,0,,,
fc,2.0,3.0,1.15,,0,,,
fc,2.0,3.0,1.25,,0,,,
fc,2.0,3.0,1.5,,0,,,
fc,2.0,3.0,1.75,,0,,,
fc,2.0,3.0,2.0,,0,,,
fc,2.0,3.0,2.5,,0,,,
fc,2.0,3.0,3.0,,0,,,
fc,2.0,3.0,4.0,,0,,,
fc,2.0,3.0,5.0,,0,,,
fc,2.0,3.0,6.0,,0,,,
fc,2.0,3.0,7.0,,0,,,
fc,2.0,4.0,-0.25,,0,,,
fc,2.0,4.0,0.0,,0,,,
fc,2.0,4.0,0.25,-0.010058388141132746,1,FC*,4.084427656061939,2.020758601839823
fc,2.0,4.0,0.5,-0.013713883930589088,1,FC,3.700423446482549,2.0063614388598556
fc,2.0,4.0,0.75,-0.013076788162205533,1,FC,3.6517745836641637,2.0098821610264785
fc,2.0,4.0,1.0,-0.014986732626044441,1,FC,3.6072786221846624,2.0126286664328568
fc,2.0,4.0,1.1,,0,,,
fc,2.0,4.0,1.15,-0.012565994507935496,1,FC,3.678719874382636,2.0117433288896147
fc,2.0,4.0,1.25,-0.014350248052337478,1,FC,3.6358095451503947,2.013669994456054
fc,2.0,4.0,1.5,-0.013713883930588977,1,FC,3.6794113623861704,2.0132727353088766
fc,2.0,4.0,1.75,-0.013076788162205644,1,FC,3.705999243927041,2.013903225143749
fc,2.0,4.0,2.0,-0.014986732626044663,1,FC,3.6775814063573375,2.0149857011056422
fc,2.0,4.0,2.5,-0.01371388393058881,1,FC,3.7371572459880675,2.0143251927083803
fc,2.0,4.0,3.0,-0.01498673262604433,1,FC,3.7210681740523817,2.015673178126959
fc,2.0,4.0,4.0,-0.014986732626044219,1,FC,3.7472549029693494,2.016000566238171
fc,2.0,4.0,5.0,-0.014986732626044053,1,FC,3.7645508061029465,2.016192057830548
fc,2.0,4.0,6.0,-0.014986732626043997,1,FC,3.7690719794128724,2.016239367522187
fc,2.0,4.0,7.0,-0.014986732626044275,1,FC,3.7690719697092665,2.0162393675221875
fc,2.0,6.0,-0.25,,0,,,
fc,2.0,6.0,0.0,,0,,,
fc,2.0,6.0,0.25,-0.016732360034839577,1,FC*,5.20056208144248,2.027685375715858
fc,2.0,6.0,0.5,-0.013679527603704889,1,FC,5.1805388096226075,2.0115772772215377
fc,2.0,6.0,0.75,-0.014266751920622045,1,FC,5.153943559261036,2.0143151065949794
fc,2.0,6.0,1.0,-0.014654325634888166,1,FC,5.1851494579819155,2.0145307332708695
fc,2.0,6.0,1.1,-0.014068999444111885,1,FC,5.218796804589456,2.014783804781819
fc,2.0,6.0,1.15,-0.014752104307674763,1,FC,5.207160240989408,2.014803692984307
fc,2.0,6.0,1.25,-0.014166429626044641,1,FC,5.241980829609964,2.0148930488262184
fc,2.0,6.0,1.5,-0.013679527603705,1,FC,5.317565089886816,2.014076281728773
fc,2.0,6.0,1.75,-0.014266751920622323,1,FC,5.309254253130018,2.0158776712985804
fc,2.0,6.0,2.0,-0.014654325634888221,1,FC,5.318573970334581,2.01544199077333
fc,2.0,6.0,2.5,-0.013679527603704722,1,FC,5.415112252328921,2.014474004546574
fc,2.0,6.0,3.0,-0.014654325634887944,1,FC,5.3908634962262045,2.0157209100879965
fc,2.0,6.0,4.0,-0.014654325634887777,1,FC,5.434523368082783,2.015856028634191
fc,2.0,6.0,5.0,-0.014654325634887777,1,FC,5.463603687652919,2.0159357573963748
fc,2.0,6.0,6.0,-0.014654325634887888,1,FC,5.471245923581664,2.01595553507788
fc,2.0,6.0,7.0,-0.014654325634887944,1,FC,5.471245805268258,2.0159555350778806
fc,2.0,10.0,-0.25,,0,,,
fc,2.0,10.0,0.0,,0,,,
fc,2.0,10.0,0.25,-0.01976178022817382,1,FC*,7.33309109451381,2.028069467822362
fc,2.0,10.0,0.5,-0.013188052995615318,1,FC,7.885257064241217,2.0135453334061877
fc,2.0,10.0,0.75,-0.012805002682550082,1,FC,8.020809843914773,2.0146303578708475
fc,2.0,10.0,1.0,-0.013345089247486841,1,FC,8.085394550298366,2.0152422058406008
fc,2.0,10.0,1.1,-0.0134961422305237,1,FC,8.08481164699023,2.0153199880580472
fc,2.0,10.0,1.15,-0.013425261900447738,1,FC,8.141512552960087,2.015339147761626
fc,2.0,10.0,1.25,-0.013573461770755246,1,FC,8.1358207680866,2.0153126184764503
fc,2.0,10.0,1.5,-0.013188052995615318,1,FC,8.292711736904149,2.014338175318462
fc,2.0,10.0,1.75,-0.01280500268254986,1,FC,8.386014394829784,2.0150165579444836
fc,2.0,10.0,2.0,-0.013345089247486952,1,FC,8.392295754448902,2.0154619875916553
fc,2.0,10.0,2.5,-0.013188052995615152,1,FC,8.496807191305498,2.014481823986706
fc,2.0,10.0,3.0,-0.013345089247486674,1,FC,8.551146256217589,2.0155313874041183
fc,2.0,10.0,4.0,-0.013345089247486785,1,FC,8.647726887475509,2.015565297233062
fc,2.0,10.0,5.0,-0.01334508924748673,1,FC,8.712607562898262,2.0155853923720004
fc,2.0,10.0,6.0,-0.013345089247486674,1,FC,8.729753648125541,2.015590387121564
fc,2.0,10.0,7.0,-0.013345089247486563,1,FC,8.729752524881937,2.0155903871215637
fc,2.2,0.4,-0.25,,0,,,
fc,2.2,0.4,0.0,,0,,,
fc,2.2,0.4,0.25,,0,,,
fc,2.2,0.4,0.5,,0,,,
fc,2.2,0.4,0.75,,0,,,
fc,2.2,0.4,1.0,,0,,,
fc,2.2,0.4,1.1,,0,,,
fc,2.2,0.4,1.15,,0,,,
fc,2.2,0.4,1.25,,0,,,
fc,2.2,0.4,1.5,,0,,,
fc,2.2,0.4,1.75,,0,,,
fc,2.2,0.4,2.0,,0,,,
fc,2.2,0.4,2.5,,0,,,
fc,2.2,0.4,3.0,,0,,,
fc,2.2,0.4,4.0,,0,,,
