logr,z,step,barT,x,cls_deep,cls_prod,mid_deep,mid_prod,a_deep,a_prod,da,bhi_deep,bhi_prod,dlog_bhi,nuM_deep,nuM_prod,sep_deep,s1_deep,off_deep,depth_deep,bias_deep,total
-5.0,4,3,0.00010272429083313384,7.845192223974602e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,3.491123622255294,3.491123622255294,0.0,43094.72450014828,43094.72450014828,0.9591772297012676,1.5985127426631753,9.583787997947839,10.542965227649107,nan,nan
-5.0,4,6,0.0001055227992716734,8.058918076571838e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,3.022398076372522,3.022398076372522,0.0,42613.18331327311,42613.18331327311,1.1624287215082245,1.71393391845312,9.317922942659706,10.48035166416793,nan,nan
-5.0,4,9,0.00010839754721891914,8.278466442968004e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,2.070811702282999,2.070811702282999,0.0,41753.82632787456,41753.82632787456,1.2217115557527607,1.4768862825224462,9.094429054788549,10.316140610541309,nan,nan
-5.0,4,12,0.00011135061166123172,8.503995945404383e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,2.1126022450316655,2.1126022450316655,0.0,41753.82632787456,41753.82632787456,1.38245973669505,1.4794926547976492,8.94235800027745,10.3248177369725,nan,nan
-5.0,4,15,0.00011438412616726623,8.735669527388166e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,1.765576594563914,1.765576594563914,0.0,41374.11459170866,41374.11459170866,1.4568771347341873,1.3727183659045654,8.790009428215564,10.24688656294975,nan,nan
-5.0,4,18,0.00011750028243096011,8.973654571532522e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,1.8145814383355185,1.8145814383355185,0.0,41374.11459170866,41374.11459170866,1.5979561387622259,1.356120375911032,8.660820325329079,10.258776464091305,nan,nan
-5.0,4,21,0.00012070133185404508,9.218123020415155e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,1.6223899340182293,1.6223899340182293,0.0,41374.11459170866,41374.11459170866,1.6656554972602098,1.312531683066538,8.544499745857838,10.210155243118047,nan,nan
-5.0,4,24,0.00012398958717318997,9.469251500845391e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,1.6530335484805587,1.6530335484805587,0.0,41374.11459170866,41374.11459170866,1.7878014084566254,1.27729289076953,8.430480259254043,10.218281667710668,nan,nan
-5.0,4,27,0.00012736742413044233,9.727221451438058e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,1.5314354068234426,1.5314354068234426,0.0,41374.11459170866,41374.11459170866,1.8159077080165285,1.2774011796365818,8.369190975756334,10.185098683772862,nan,nan
-5.0,4,30,0.0001308372831902993,9.992219253748487e-05,MC,MC,tangent,tangent,0.5,0.5,0.0,1.554930504872177,1.554930504872177,0.0,41374.11459170866,41374.11459170866,1.9251010714572743,1.2580231617106359,8.266609912243219,10.191710983700492,nan,nan
-5.0,4,33,0.0001344016713025198,0.00010264436366900851,MC,MC,tangent,tangent,0.5,0.5,0.0,1.472270876629479,1.472270876629481,-5.785964799319727e-16,41374.11459170866,41374.11459170866,1.977747213222546,1.256443851435243,8.19024050805797,10.167987721280516,nan,nan
-5.0,4,36,0.00013806316371334226,0.00010544069465913312,MC,MC,tangent,tangent,0.5,0.5,0.0,1.4810665429566352,1.4810665429566352,0.0,41374.11459170866,41374.11459170866,2.0575748332007233,1.2472766906335455,8.112999738210194,10.170574571410917,nan,nan
-5.0,4,39,0.00014182440582621858,0.00010831320583804751,MC,MC,tangent,tangent,0.5,0.5,0.0,1.426939113860974,1.426939113860974,0.0,41374.11459170866,41374.11459170866,2.097629345722922,1.2321747158005396,8.0567760968533,10.154405442576222,nan,nan
-5.0,4,42,0.00014568811511317392,0.0001112639725756791,MC,MC,tangent,tangent,0.5,0.5,0.0,1.4132390699792827,1.4132390699792827,0.0,43711.35929383563,43711.35929383563,2.172629275263779,1.217071886809666,7.977586360038702,10.15021563530248,nan,nan
